id,city.address,city.lat,city.lon,google.lat,google.lon,city_google.distance
1086,"RUA ESTRADA DA URUCUTUBA, 2191",-3.79883,-38.616669,-3.798819999999999,-38.6166714,0.5716941910452821
1087,"RUA NS 02 RES BOM JARDIM, 163",-3.798528,-38.617369,-3.7985241999999997,-38.61734775000001,1.1976326852368875
1089,"ESTRADA DA URUCUTUBA, 1956",-3.798536,-38.614211,-3.79857475,-38.614204099999995,2.188142368384647
1090,"ESTRADA DA URUCUTUBA, 1966",-3.798441,-38.614158,-3.79857475,-38.614204099999995,7.863640708634056
1091,"ESTRADA DA URUCUTUBA, 1758",-3.798107,-38.612021,-3.798192700000001,-38.61219145000001,10.588391758599142
1092,"ESTRADA DA URUCUTUBA, 1795",-3.798204,-38.612187,-3.798192700000001,-38.61219145000001,0.6750127502542891
1093,"RUA BARRA MANSA, 342",-3.79565,-38.611507,-3.7956741999999997,-38.611517750000004,1.4717017990870545
1094,"RUA BARRA MANSA, 638",-3.794767,-38.614231,-3.7947837499999997,-38.61423450000001,0.951283552653238
1095,"RUA FRANCISCO PAIVA, 1032",-3.791265,-38.614406,-3.7912633499999995,-38.61439874999999,0.412528653105676
1096,"RUA FRANCISCO PAIVA, 1034",-3.791007,-38.614329,-3.7912633499999995,-38.61439874999999,14.768335246909658
1097,"RUA FRANCISCO PAIVA, 1326",-3.793495,-38.615116,-3.7934989,-38.61512355000001,0.4716388453392299
1098,"RUA FRANCISCO PAIVA, 1430",-3.794798,-38.615538,-3.7948015999999996,-38.61553450000001,0.2788551839717562
1099,"ESTRADA DA URUCUTUBA, SN",-3.799186,-38.619215,-3.79921245,-38.6192063,1.5477281234304592
11,"AVENIDA CEL CARVALHO, 116",-3.703397,-38.591645,-3.7034105500000005,-38.59166880000001,1.5202417215600343
1100,"AVENIDA WASHINGTON SOARES, SN",-3.791062,-38.480304,-3.7910483499999996,-38.48020475,5.558028721179115
1101,"AVENIDA WASHINGTON SOARES, S/N",-3.794761,-38.479932,-3.7951479,-38.4798873,21.653120512327135
1104,"AVENIDA ENG LEAL LIMA VERDE, 565",-3.793306,-38.475911,-3.79331025,-38.4759127,0.25441444804138075
1105,"AVENIDA GOMES DE FREITAS, 2985",-3.79549,-38.47757,-3.7955011,-38.47756869999999,0.6213314275751494
1106,"RUA CEL OLEGARIO MEMORIA, 1602",-3.791412,-38.47389,-3.791385950000001,-38.47396735000001,4.52887832906853
1107,"AVENIDA SAPIRANGA, 465",-3.791415,-38.47106,-3.79141775,-38.4710367,1.301596756867133
1108,"RUA EUCLIDES O DE SOUSA, 935",-3.797549,-38.471963,-3.79757085,-38.471958099999995,1.2448459237273168
1109,"RUA EUCLIDES O DE SOUSA, 880",-3.79769,-38.473567,-3.7977213,-38.47356619999999,1.7407664250209303
1110,"RUA EUCLIDES O DE SOUSA, 451",-3.797898,-38.475842,-3.7979109500000003,-38.475838949999996,0.7396013049443275
1111,"RUA EUCLIDES O DE SOUSA, 301",-3.798098,-38.478236,-3.798110650000001,-38.478239,0.7227306900198908
1112,"AVENIDA WASHINGTON SOARES, 4600",-3.799236,-38.479559,-3.7992395999999995,-38.479555649999995,0.27312577399576954
1113,"AVENIDA WASHINGTON SOARES, 4393",-3.796708,-38.479977,-3.79670965,-38.47995345000001,1.3096634439518229
1114,"AVENIDA OLIVEIRA PAIVA, 2885",-3.795625,-38.479096,-3.795626849999999,-38.4790993,0.2099846234607195
1116,"AVENIDA I CJ JOSE WALTER, 360",-3.827377,-38.551411,-3.82737955,-38.55141155,0.14501937462941383
1117,"AVENIDA I CJ JOSE WALTER, 890",-3.829824,-38.552161,-3.8298858999999994,-38.55219495,3.923097525369071
1118,"AVENIDA I CJ JOSE WALTER, 670",-3.82989,-38.552181,-3.8298858999999994,-38.55219495,0.806727206702948
1119,"AVENIDA L CJ JOSE WALTER, 390",-3.828096,-38.556639,-3.8280098000000002,-38.556639450000006,4.792566351321826
1120,"RUA 69 CJ JOSE WALTER, S/N",-3.830487,-38.554696,-3.83040575,-38.55468845,4.536668046361522
1121,"AVENIDA J CJ JOSE WALTER, 780",-3.831916,-38.555933,-3.8315344500000004,-38.556052300000005,22.22155797626983
1124,"AVENIDA J CJ JOSE WALTER, 291",-3.833825,-38.556505,-3.8337881000000005,-38.556575949999996,4.43840782168857
1125,"AVENIDA J CJ JOSE WALTER, SN",-3.834694,-38.556779,-3.83472265,-38.5567068,4.310272713583029
1127,"RUA PERGENTINO MAIA, 380",-3.830969,-38.492044,-3.8309377499999995,-38.49204024999999,1.7498300007792045
1128,"RUA PERGENTINO MAIA, 613",-3.831314,-38.489536,-3.8313379999999997,-38.4895439,1.4044620784742854
